original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,normal_r,normal_rall,power,rbi,playoff,champion,season_rank
쌍방울,SB,쌍방울,SB,1993,신용균,126,5,7,43,78,0.361,37,,0.225,0.301,0.301,0.602,366,46,551,4.37,4,-1.173,1.703,-1.438,,0,0,7
태평양,TP,현대,HD,1993,정동진,126,10,8,34,82,0.31,43.5,,0.224,0.299,0.29,0.589,348,35,516,4.1,3.58,-1.387,1.012,-1.2,,0,0,8
LG,LG,LG,LG,1994,이광환,126,0,1,81,45,0.643,0,,0.282,0.409,0.358,0.767,655,88,452,3.59,3.14,2.138,-1.13,1.634,,1,1,1
태평양,TP,현대,HD,1994,정동진,126,3,2,68,55,0.552,11.5,,0.244,0.365,0.316,0.681,485,91,471,3.74,3.5,-0.621,-0.829,0.104,,1,2,2
한화,HH,한화,HH,1994,강병철,126,2,3,65,59,0.524,15,,0.247,0.345,0.324,0.669,482,68,510,4.05,3.52,-0.669,-0.21,-0.23,,1,0,3
해태,HT,KIA,KA,1994,김응용,126,2,4,65,59,0.524,15,,0.271,0.388,0.328,0.716,563,93,509,4.04,3.6,0.645,-0.226,0.436,,1,0,3
삼성,SS,삼성,SS,1994,우용득,126,2,5,60,64,0.484,20,,0.26,0.386,0.339,0.725,541,106,499,3.96,3.47,0.288,-0.385,0.336,,0,0,5
롯데,LT,롯데,LT,1994,김용희,126,3,6,56,67,0.456,23.5,,0.257,0.357,0.323,0.68,489,58,604,4.79,4.44,-0.556,1.281,-0.918,,0,0,6
OB,OB,두산,DS,1994,윤동균,126,1,7,53,72,0.425,27.5,,0.246,0.348,0.313,0.661,477,75,507,4.02,3.46,-0.75,-0.258,-0.246,,0,0,7
쌍방울,SB,쌍방울,SB,1994,한동화,126,5,8,47,74,0.393,31.5,,0.248,0.359,0.316,0.675,494,87,634,5.03,4.74,-0.475,1.757,-1.116,,0,0,8
OB,OB,두산,DS,1995,김인식,126,5,1,74,47,0.607,0,,0.266,0.399,0.326,0.725,629,106,500,3.97,3.42,1.587,-0.358,0.973,,1,1,1
롯데,LT,롯데,LT,1995,김용희,126,5,2,68,53,0.56,6,,0.255,0.364,0.333,0.697,590,65,493,3.91,3.47,1,-0.465,0.733,,1,2,3
LG,LG,LG,LG,1995,이광환,126,4,3,74,48,0.603,0.5,,0.257,0.372,0.334,0.706,527,79,456,3.62,3.21,0.053,-1.029,0.541,,1,0,2
해태,HT,KIA,KA,1995,김응용,126,4,4,64,58,0.524,10.5,,0.242,0.345,0.309,0.654,431,75,434,3.44,3.06,-1.391,-1.365,-0.013,,0,0,4
삼성,SS,삼성,SS,1995,"우용득, 백인천",126,6,5,60,60,0.5,13.5,,0.25,0.374,0.324,0.698,558,94,555,4.4,3.9,0.519,0.48,0.019,,0,0,5
한화,HH,한화,HH,1995,강병철,126,0,6,55,71,0.437,21.5,,0.249,0.38,0.323,0.703,510,96,566,4.49,4.04,-0.203,0.648,-0.426,,0,0,6
태평양,TP,현대,HD,1995,정동진,126,5,7,48,73,0.401,26,,0.234,0.345,0.305,0.65,467,82,548,4.35,3.92,-0.85,0.374,-0.612,,0,0,7
쌍방울,SB,쌍방울,SB,1995,"한동화, 김우열",126,3,8,45,78,0.369,30,,0.254,0.364,0.32,0.684,476,83,636,5.05,4.67,-0.714,1.715,-1.215,,0,0,8
해태,HT,KIA,KA,1996,김응용,126,2,1,73,51,0.587,0,,0.245,0.366,0.329,0.695,554,92,441,3.5,3.14,0.886,-1.274,1.08,,1,1,1
현대,HD,현대,HD,1996,김재박,126,5,2,67,54,0.552,4.5,,0.243,0.371,0.318,0.689,493,106,454,3.6,3.04,-0.71,-1.065,0.178,,1,2,4
쌍방울,SB,쌍방울,SB,1996,김성근,126,2,3,70,54,0.563,3,,0.264,0.369,0.34,0.709,545,58,460,3.65,3.33,0.651,-0.968,0.809,,1,0,2
한화,HH,한화,HH,1996,강병철,126,1,4,70,55,0.56,3.5,,0.245,0.372,0.327,0.699,522,90,532,4.22,3.79,0.049,0.191,-0.071,,1,0,3
롯데,LT,롯데,LT,1996,김용희,126,6,5,57,63,0.476,14,,0.274,0.393,0.34,0.733,566,72,580,4.6,4.16,1.2,0.964,0.118,,0,0,5
삼성,SS,삼성,SS,1996,백인천,126,5,6,54,67,0.448,17.5,,0.249,0.37,0.327,0.697,510,88,581,4.61,4.23,-0.265,0.98,-0.623,,0,0,6
LG,LG,LG,LG,1996,이광환,126,5,7,50,71,0.417,21.5,,0.246,0.364,0.33,0.694,525,98,593,4.71,4.11,0.128,1.174,-0.523,,0,0,7
OB,OB,두산,DS,1996,김인식,126,6,8,47,73,0.397,24,,0.242,0.355,0.304,0.659,446,82,520,4.13,3.69,-1.939,-0.002,-0.968,,0,0,8
해태,HT,KIA,KA,1997,김응용,126,1,1,75,50,0.599,0,,0.258,0.408,0.34,0.748,616,133,510,4.05,3.65,0.639,-1.089,0.864,,1,1,1
LG,LG,LG,LG,1997,"이광환,천보성",126,2,2,73,51,0.587,1.5,,0.267,0.394,0.343,0.737,590,83,512,4.06,3.78,0.359,-1.043,0.701,,1,2,2
쌍방울,SB,쌍방울,SB,1997,김성근,126,2,3,71,53,0.571,3.5,,0.269,0.414,0.351,0.765,602,110,518,4.11,3.82,0.488,-0.902,0.695,,1,0,3
삼성,SS,삼성,SS,1997,"백인천, 조창수, 서정환",126,7,4,66,53,0.552,6,,0.277,0.462,0.356,0.818,722,165,605,4.8,4.23,1.78,1.13,0.325,,1,0,4
OB,OB,두산,DS,1997,김인식,126,5,5,57,64,0.472,16,,0.254,0.361,0.324,0.685,511,84,551,4.37,3.84,-0.491,-0.131,-0.18,,0,0,5
현대,HD,현대,HD,1997,김재박,126,4,6,51,71,0.421,22.5,,0.247,0.361,0.327,0.688,497,82,582,4.62,4.21,-0.642,0.593,-0.617,,0,0,6
한화,HH,한화,HH,1997,강병철,126,2,7,51,73,0.413,23.5,,0.253,0.381,0.325,0.706,481,102,554,4.4,4.06,-0.814,-0.061,-0.376,,0,0,7
롯데,LT,롯데,LT,1997,김용희,126,1,8,48,77,0.385,27,,0.237,0.345,0.305,0.65,434,75,621,4.93,4.58,-1.32,1.504,-1.412,,0,0,8
현대,HD,현대,HD,1998,김재박,126,0,1,81,45,0.643,0,,0.27,0.434,0.344,0.778,633,142,445,3.53,3.03,1.371,-1.82,1.596,,1,1,1
LG,LG,LG,LG,1998,천보성,126,1,2,63,62,0.504,17.5,,0.267,0.401,0.339,0.74,609,100,586,4.65,4.18,0.945,0.497,0.224,,1,2,3
삼성,SS,삼성,SS,1998,서정환,126,2,3,66,58,0.532,14,,0.268,0.428,0.346,0.774,620,143,584,4.63,4.32,1.14,0.464,0.338,,1,0,2
OB,OB,두산,DS,1998,김인식,126,3,4,61,62,0.496,18.5,,0.256,0.383,0.317,0.7,520,102,506,4.02,3.6,-0.634,-0.818,0.092,,1,0,4
해태,HT,KIA,KA,1998,김응용,126,1,5,61,64,0.488,19.5,,0.258,0.376,0.325,0.701,489,94,531,4.21,3.91,-1.185,-0.407,-0.389,,0,0,5
쌍방울,SB,쌍방울,SB,1998,김성근,126,2,6,58,66,0.468,22,,0.261,0.391,0.334,0.725,536,101,570,4.52,4.04,-0.35,0.234,-0.292,,0,0,6
한화,HH,한화,HH,1998,"강병철, 이희수",126,5,7,55,66,0.455,23.5,,0.25,0.392,0.316,0.708,503,123,578,4.59,4.26,-0.936,0.366,-0.651,,0,0,7
롯데,LT,롯데,LT,1998,"김용희, 김명성",126,4,8,50,72,0.41,29,,0.255,0.381,0.329,0.71,536,86,646,5.13,4.61,-0.35,1.483,-0.917,,0,0,8
한화,HH,한화,HH,1999,이희수,132,2,1,72,58,0.554,4.5,,0.283,0.484,0.353,0.837,731,197,701,5.31,4.88,0.261,-0.124,0.192,,1,1,2
롯데,LT,롯데,LT,1999,김명성,132,5,1,75,52,0.591,0,,0.291,0.461,0.363,0.824,753,145,590,4.47,4.18,0.541,-1.568,1.055,,1,2,2
삼성,SS,삼성,SS,1999,"서정환, 김용희",132,2,2,73,57,0.562,3.5,,0.273,0.46,0.352,0.812,748,207,748,5.67,5.16,0.478,0.488,-0.005,,1,0,1
두산,DS,두산,DS,1999,김인식,132,5,2,76,51,0.598,-1,,0.284,0.438,0.355,0.793,721,141,657,4.98,4.58,0.134,-0.696,0.415,,1,0,1
현대,HD,현대,HD,1999,김재박,132,5,3,68,59,0.535,7,,0.272,0.418,0.359,0.777,699,143,646,4.89,4.47,-0.147,-0.839,0.346,,0,0,3
LG,LG,LG,LG,1999,천보성,132,1,3,61,70,0.466,16,,0.281,0.442,0.35,0.792,744,145,773,5.86,5.49,0.427,0.813,-0.193,,0,0,3
해태,HT,KIA,KA,1999,김응용,132,3,4,60,69,0.465,16,,0.278,0.466,0.362,0.828,765,210,743,5.63,5.21,0.694,0.423,0.136,,0,0,4
쌍방울,SB,쌍방울,SB,1999,"김성근, 김준환",132,7,4,28,97,0.224,46,,0.248,0.358,0.319,0.677,523,86,826,6.26,5.85,-2.389,1.503,-1.946,,0,0,4
현대,HD,현대,HD,2000,김재박,133,2,1,91,40,0.695,0,,0.278,0.483,0.365,0.848,777,208,528,3.97,3.64,1.515,-1.356,1.436,,1,1,1
LG,LG,LG,LG,2000,이광은,133,3,1,67,63,0.515,23.5,,0.273,0.414,0.356,0.77,687,122,631,4.74,4.45,0.218,-0.385,0.302,,1,0,1
롯데,LT,롯데,LT,2000,김명성,133,4,2,65,64,0.504,25,,0.26,0.385,0.334,0.719,603,104,579,4.35,4.02,-0.993,-0.875,-0.059,,1,0,2
두산,DS,두산,DS,2000,김인식,133,0,2,76,57,0.571,16,,0.289,0.441,0.359,0.8,694,150,616,4.63,4.22,0.319,-0.527,0.423,,1,2,2
한화,HH,한화,HH,2000,"이희수, 이광환",133,5,3,50,78,0.391,39.5,,0.276,0.457,0.346,0.803,680,180,776,5.83,5.24,0.117,0.981,-0.432,,0,0,3
삼성,SS,삼성,SS,2000,"김용희, 김응용",133,5,3,69,59,0.539,20.5,,0.269,0.447,0.348,0.795,744,177,670,5.04,4.64,1.04,-0.018,0.529,,1,0,3
해태,HT,KIA,KA,2000,김응용,133,4,4,57,72,0.442,33,,0.252,0.363,0.333,0.696,588,86,728,5.47,4.95,-1.209,0.529,-0.869,,0,0,4
SK,SK,SK,SK,2000,강병철,133,3,4,44,86,0.338,46.5,,0.26,0.383,0.332,0.715,602,105,847,6.37,5.99,-1.007,1.651,-1.329,,0,0,4
두산,DS,두산,DS,2001,김인식,133,5,1,65,63,0.508,0,,0.276,0.421,0.359,0.78,732,130,733,5.51,4.96,0.922,0.943,-0.01,,1,1,3
삼성,SS,삼성,SS,2001,김응용,133,0,2,81,52,0.609,-13.5,,0.277,0.447,0.36,0.807,739,162,644,4.84,4.39,1.07,-0.938,1.004,,1,2,1
현대,HD,현대,HD,2001,김재박,133,4,3,72,57,0.558,-6.5,,0.268,0.429,0.362,0.791,711,169,628,4.72,4.34,0.478,-1.276,0.877,,1,0,2
한화,HH,한화,HH,2001,이광환,133,4,4,61,68,0.473,4.5,,0.275,0.426,0.357,0.783,659,148,733,5.51,4.82,-0.621,0.943,-0.782,,1,0,4
KIA,KA,KIA,KA,2001,김성한,133,5,5,60,68,0.469,5,,0.278,0.428,0.353,0.781,683,142,727,5.47,5.01,-0.114,0.816,-0.465,,0,0,5
LG,LG,LG,LG,2001,"이광은, 김성근",133,8,6,58,67,0.464,5.5,,0.276,0.391,0.363,0.754,669,85,732,5.5,5.09,-0.41,0.922,-0.666,,0,0,6
SK,SK,SK,SK,2001,강병철,133,2,7,60,71,0.458,6.5,,0.26,0.391,0.337,0.728,596,113,640,4.81,4.38,-1.953,-1.022,-0.465,,0,0,7
롯데,LT,롯데,LT,2001,"김명성, 우용득",133,4,8,59,70,0.457,6.5,,0.28,0.425,0.365,0.79,718,121,670,5.04,4.68,0.626,-0.388,0.507,,0,0,8
삼성,SS,삼성,SS,2002,김응용,133,4,1,82,47,0.636,0,2승,0.284,0.472,0.36,0.832,777,191,581,4.37,3.92,1.829,-0.671,1.25,,1,1,1
LG,LG,LG,LG,2002,김성근,133,6,2,66,61,0.52,15,1승,0.261,0.385,0.332,0.717,583,100,575,4.32,3.93,-0.382,-0.785,0.202,,1,2,4
KIA,KA,KIA,KA,2002,김성한,133,4,3,78,51,0.605,4,2패,0.269,0.402,0.344,0.746,643,120,580,4.36,3.92,0.302,-0.69,0.496,,1,0,2
